# Epic Fight 20.9.5 biped clips converted for the 1.7.10 runtime
# name	duration	tracks	source
axe_airslash	1.0000	20	assets/epicfight/animmodels/animations/biped/combat/axe_airslash.json
axe_auto1	1.0000	20	assets/epicfight/animmodels/animations/biped/combat/axe_auto1.json
axe_auto2	1.0000	20	assets/epicfight/animmodels/animations/biped/combat/axe_auto2.json
axe_dash	0.8667	20	assets/epicfight/animmodels/animations/biped/combat/axe_dash.json
battojutsu	1.5000	20	assets/epicfight/animmodels/animations/biped/skill/battojutsu.json
battojutsu_dash	1.5000	20	assets/epicfight/animmodels/animations/biped/skill/battojutsu_dash.json
blade_rush_combo1	1.0000	20	assets/epicfight/animmodels/animations/biped/skill/blade_rush_combo1.json
blade_rush_combo2	1.0000	20	assets/epicfight/animmodels/animations/biped/skill/blade_rush_combo2.json
blade_rush_combo3	1.0000	20	assets/epicfight/animmodels/animations/biped/skill/blade_rush_combo3.json
blade_rush_execute	1.5167	20	assets/epicfight/animmodels/animations/biped/skill/blade_rush_execute.json
blade_rush_failed	1.0500	20	assets/epicfight/animmodels/animations/biped/skill/blade_rush_failed.json
blade_rush_hit	1.4000	20	assets/epicfight/animmodels/animations/biped/interact/blade_rush_hit.json
blade_rush_try	0.3600	20	assets/epicfight/animmodels/animations/biped/skill/blade_rush_try.json
bow_aim_down	0.4333	20	assets/epicfight/animmodels/animations/biped/combat/bow_aim_down.json
bow_aim_lying	0.4333	20	assets/epicfight/animmodels/animations/biped/combat/bow_aim_lying.json
bow_aim_mid	0.4333	20	assets/epicfight/animmodels/animations/biped/combat/bow_aim_mid.json
bow_aim_up	0.4333	20	assets/epicfight/animmodels/animations/biped/combat/bow_aim_up.json
bow_shot_down	0.0667	20	assets/epicfight/animmodels/animations/biped/combat/bow_shot_down.json
bow_shot_lying	0.0667	20	assets/epicfight/animmodels/animations/biped/combat/bow_shot_lying.json
bow_shot_mid	0.0667	20	assets/epicfight/animmodels/animations/biped/combat/bow_shot_mid.json
bow_shot_up	0.0667	20	assets/epicfight/animmodels/animations/biped/combat/bow_shot_up.json
climb	0.8000	20	assets/epicfight/animmodels/animations/biped/living/climb.json
creative_fly_backward	4.0000	20	assets/epicfight/animmodels/animations/biped/living/creative_fly_backward.json
creative_fly_forward	4.0000	20	assets/epicfight/animmodels/animations/biped/living/creative_fly_forward.json
creative_idle	2.6667	20	assets/epicfight/animmodels/animations/biped/living/creative_idle.json
crossbow_aim_down	0.4333	20	assets/epicfight/animmodels/animations/biped/combat/crossbow_aim_down.json
crossbow_aim_lying	0.4333	20	assets/epicfight/animmodels/animations/biped/combat/crossbow_aim_lying.json
crossbow_aim_mid	0.4333	20	assets/epicfight/animmodels/animations/biped/combat/crossbow_aim_mid.json
crossbow_aim_up	0.4333	20	assets/epicfight/animmodels/animations/biped/combat/crossbow_aim_up.json
crossbow_reload	1.1667	20	assets/epicfight/animmodels/animations/biped/combat/crossbow_reload.json
crossbow_shot_down	0.3333	20	assets/epicfight/animmodels/animations/biped/combat/crossbow_shot_down.json
crossbow_shot_lying	0.3333	20	assets/epicfight/animmodels/animations/biped/combat/crossbow_shot_lying.json
crossbow_shot_mid	0.3333	20	assets/epicfight/animmodels/animations/biped/combat/crossbow_shot_mid.json
crossbow_shot_up	0.3333	20	assets/epicfight/animmodels/animations/biped/combat/crossbow_shot_up.json
dagger_airslash	0.5667	20	assets/epicfight/animmodels/animations/biped/combat/dagger_airslash.json
dagger_auto1	0.6500	20	assets/epicfight/animmodels/animations/biped/combat/dagger_auto1.json
dagger_auto2	0.6500	20	assets/epicfight/animmodels/animations/biped/combat/dagger_auto2.json
dagger_auto3	1.1000	20	assets/epicfight/animmodels/animations/biped/combat/dagger_auto3.json
dagger_dash	1.1000	20	assets/epicfight/animmodels/animations/biped/combat/dagger_dash.json
dagger_dual_auto1	1.0500	20	assets/epicfight/animmodels/animations/biped/combat/dagger_dual_auto1.json
dagger_dual_auto2	1.0000	20	assets/epicfight/animmodels/animations/biped/combat/dagger_dual_auto2.json
dagger_dual_auto3	0.9833	20	assets/epicfight/animmodels/animations/biped/combat/dagger_dual_auto3.json
dagger_dual_auto4	1.1500	20	assets/epicfight/animmodels/animations/biped/combat/dagger_dual_auto4.json
dagger_dual_dash	0.9000	20	assets/epicfight/animmodels/animations/biped/combat/dagger_dual_dash.json
dancing_edge	1.2500	20	assets/epicfight/animmodels/animations/biped/skill/dancing_edge.json
death	1.3333	20	assets/epicfight/animmodels/animations/biped/living/death.json
demolition_leap	1.0000	20	assets/epicfight/animmodels/animations/biped/skill/demolition_leap.json
demolition_leap_charge	0.5000	20	assets/epicfight/animmodels/animations/biped/skill/demolition_leap_charge.json
dig_mainhand	0.2500	20	assets/epicfight/animmodels/animations/biped/living/dig_mainhand.json
dig_offhand	0.2500	20	assets/epicfight/animmodels/animations/biped/living/dig_offhand.json
drink_mainhand	1.6000	20	assets/epicfight/animmodels/animations/biped/living/drink_mainhand.json
drink_offhand	1.6000	20	assets/epicfight/animmodels/animations/biped/living/drink_offhand.json
eat_mainhand	1.2667	20	assets/epicfight/animmodels/animations/biped/living/eat_mainhand.json
eat_offhand	1.2667	20	assets/epicfight/animmodels/animations/biped/living/eat_offhand.json
everlasting_allegiance_call	0.5500	20	assets/epicfight/animmodels/animations/biped/skill/everlasting_allegiance_call.json
everlasting_allegiance_catch	0.9333	20	assets/epicfight/animmodels/animations/biped/skill/everlasting_allegiance_catch.json
eviscerate_first	0.4500	20	assets/epicfight/animmodels/animations/biped/skill/eviscerate_first.json
eviscerate_second	0.5000	20	assets/epicfight/animmodels/animations/biped/skill/eviscerate_second.json
fall	8.3333	20	assets/epicfight/animmodels/animations/biped/living/fall.json
fist_airslash	0.4000	20	assets/epicfight/animmodels/animations/biped/combat/fist_airslash.json
fist_auto1	0.5000	20	assets/epicfight/animmodels/animations/biped/combat/fist_auto1.json
fist_auto2	0.5000	20	assets/epicfight/animmodels/animations/biped/combat/fist_auto2.json
fist_auto3	0.5000	20	assets/epicfight/animmodels/animations/biped/combat/fist_auto3.json
fist_dash	0.9167	20	assets/epicfight/animmodels/animations/biped/combat/fist_dash.json
float	2.3333	20	assets/epicfight/animmodels/animations/biped/living/float.json
fly	0.1667	20	assets/epicfight/animmodels/animations/biped/living/fly.json
fly_backward	4.0000	20	assets/epicfight/animmodels/animations/biped/living/creative_fly_backward.json
fly_forward	4.0000	20	assets/epicfight/animmodels/animations/biped/living/creative_fly_forward.json
grasping_spire_second	1.3500	20	assets/epicfight/animmodels/animations/biped/skill/grasping_spire_second.json
greatsword_airslash	1.0000	20	assets/epicfight/animmodels/animations/biped/combat/greatsword_airslash.json
greatsword_auto1	1.2500	20	assets/epicfight/animmodels/animations/biped/combat/greatsword_auto1.json
greatsword_auto2	1.7167	20	assets/epicfight/animmodels/animations/biped/combat/greatsword_auto2.json
greatsword_dash	1.6500	20	assets/epicfight/animmodels/animations/biped/combat/greatsword_dash.json
greatsword_slam	0.5833	20	assets/epicfight/animmodels/animations/biped/skill/greatsword_slam.json
guard_break1	2.0000	20	assets/epicfight/animmodels/animations/biped/skill/guard_break1.json
guard_break2	2.0000	20	assets/epicfight/animmodels/animations/biped/skill/guard_break2.json
guard_dualsword	2.6667	20	assets/epicfight/animmodels/animations/biped/skill/guard_dualsword.json
guard_dualsword_hit	0.5000	20	assets/epicfight/animmodels/animations/biped/skill/guard_dualsword_hit.json
guard_greatsword	2.6667	20	assets/epicfight/animmodels/animations/biped/skill/guard_greatsword.json
guard_greatsword_hit	0.5000	20	assets/epicfight/animmodels/animations/biped/skill/guard_greatsword_hit.json
guard_longsword	2.6667	20	assets/epicfight/animmodels/animations/biped/skill/guard_longsword.json
guard_longsword_hit	0.5000	20	assets/epicfight/animmodels/animations/biped/skill/guard_longsword_hit.json
guard_longsword_hit_active1	0.6667	20	assets/epicfight/animmodels/animations/biped/skill/guard_longsword_hit_active1.json
guard_longsword_hit_active2	0.6667	20	assets/epicfight/animmodels/animations/biped/skill/guard_longsword_hit_active2.json
guard_spear	2.6667	20	assets/epicfight/animmodels/animations/biped/skill/guard_spear.json
guard_spear_hit	0.5000	20	assets/epicfight/animmodels/animations/biped/skill/guard_spear_hit.json
guard_sword	2.6667	20	assets/epicfight/animmodels/animations/biped/skill/guard_sword.json
guard_sword_hit	0.5000	20	assets/epicfight/animmodels/animations/biped/skill/guard_sword_hit.json
guard_sword_hit_active1	0.6667	20	assets/epicfight/animmodels/animations/biped/skill/guard_sword_hit_active1.json
guard_sword_hit_active2	0.6667	20	assets/epicfight/animmodels/animations/biped/skill/guard_sword_hit_active2.json
guard_sword_hit_active3	0.6667	20	assets/epicfight/animmodels/animations/biped/skill/guard_sword_hit_active3.json
guard_uchigatana	2.6667	20	assets/epicfight/animmodels/animations/biped/skill/guard_uchigatana.json
guard_uchigatana_hit	0.5000	20	assets/epicfight/animmodels/animations/biped/skill/guard_uchigatana_hit.json
heartpiercer	1.0833	20	assets/epicfight/animmodels/animations/biped/skill/heartpiercer.json
